CODE,Context for translation,EN,FR,PT,JP,ES,GE,IT
LANG,Name of language,English,Français,Português,日本語,Español,Deutsch,Italiano
back,Return to previous thing,Back,Retour,Voltar,戻る,Volver,Zurück,Indietro
difficulty,,Difficulty,Difficulté,Dificuldade,難易度,Dificultad,Schwierigkeit,Difficoltà
easy,,Easy,Facile,Fácil,EASY,Fácil,Leicht,Facile
hard,,Hard,Difficile,Difícil,HARD,Difícil,Schwer,Difficile
level,,Level,Niveau,Nível,LV,Nivel,Level,Livello
normal,,Normal,Normal,Normal,NORMAL,Normal,Normal,Normale
speed,,Speed,Vitesse,Velocidade,スピード,Velocidad,Geschwindigkeit,Velocità
factory,Training mode that drops multiple tiers of chain garbage,Factory,Usine,Fábrica,工場,Fábrica,Fabrik,Fabbrica
combo_storm,Training mode that drops lots of small combo blocks in a row,Combo Storm,Tempête combo,Tempestade de combinação,コンボ嵐,Tormenta combo,Combo Storm.,Combo Storm.
large_garbage,Training mode that drops huge chain blocks,Large Garbage,Gros ordures,Grande lixo,大規模なごみ,Basura grande,Großer Müll,Grande spazzatura
width,width of garbage blocks in training mode,Width,Largeur,Largura,幅,Ancho,Breite,Larghezza
height,height of garbage blocks in training mode,Height,Hauteur,Altura,高さ,Altura,Höhe,Altezza
vs,,vs,vs,vs,対,vs,vs,vs
up,,Up,Haut,Cima,上,Arriba,hoch,Su
down,,Down,Bas,Baixo,下,Abajo,runter,Giù
left,,Left,Gauche,Esquerda,左,Izquierda,links,Sinistra
right,,Right,Droite,Direita,右,Derecha,rechts,Destra
start,,Start,Start,Começar,START,Empezar,Start,Avvio
player,,Player,Joueur,Jogador,プレイヤー,Jugador,Spieler,Giocatore
player_n,,Player %1,Joueur %1,Jogador %1,プレイヤー%1,Jugador %1,Spieler %1,Giocatore %1
page,,Page,Page,Página,ページ,Página,Seite,Pagina
panels,,Panels,Panels,Painéis,パネル,Paneles,Panels,Tessere
character,,Character,Personnage,Personagem,??????,Personaje,Charakter,Carattere
stage,,Stage,Terrain,Cenário,ステージ,Escenario,Arena,Scenario
mode,,Mode,Mode,Modo,モード,Modo,Modus,Modalità
ready,,Ready,Prêt,Pronto,READY,Listo,Bereit,Pronto
random,,Random,Aléatoire,Aleatório,ランダム,Aleatorio,Zufall,Casuale
leave,,Leave,Quitter,Sair,終わる,Salir,Verlassen,Esci
pause,,Pause,Pause,Pausa,ポーズ,Pausa,Pause,Pausa
go_,,Go!,Commencer,Vai!,GO!,¡Comenzar!,Los!,Via!
anonymous,,Anonymous,Anonyme,Anônimo,匿名,Anónimo,Anonym,Anonimo
stages,,stages,terrains,Cenários,ステージ,escenarios,Arenen,Scenario
characters,,characters,personnages,Personagens,キャラクター,personajes,Charaktere,Personaggi
join_community,,Join the community at,Rejoignez la communauté sur,Participe da comunidade em,コミュニティに参加しよう,Únete a nuestra comunidad en,Tritt unserer Community bei unter,Unisciti alla community su
warning_msg,,You've had a bug. Please report this on Discord with file:,"Vous venez de rencontrer un problème.
S'il vous plaît, signalez le sur Discord avec le fichier :","Você encontrou um problema. Por favor, reporte no Discord o arquivo em anexo:",不具合が発生しました。以下のファイルでディスコードに報告して下さい：,"Hubo un problema. Por favor, reporta esto en Discord con el siguiente archivo:",Ein Bug ist aufgetreten. Bitte melde diesen in unserem Discord mit der Datei:,"Hai riscontrato un bug. Per favore, segnalalo su Discord con il file:"
