CODE	EN	FR	PT	
LANG	English	Français	Portugues	 
back	Back	Retour	 	 
difficulty	Difficulty	Difficulté	 	 
easy	Easy	Facile	 	 
go_	Go!	Commencer	 	 
hard	Hard	Difficile	 	 
join_community	Join the community at	Rejoignez la communauté sur	 	 
lb_alone	You are all alone in the lobby :(	Vous êtes seul dans le salon :(	 	 
lb_back	Back to main menu	Revenir au menu principal	 	 
lb_connecting	Connecting...	Connexion en cours...	 	 
lb_error_msg	Error message received from the server:	Message d'erreur du serveur : 	 	 
lb_header_board	        Leaderboard       Rank    Rating   Player	        Classement       Rang    Score   Joueur	 	 
lb_hide_board	Show Leaderboard	Afficher le classement	 	 
lb_login	Logging in...	Indentification...	 	 
lb_login_timeout	Login for ranked matches timed out. This server probably doesn't support ranking.  You may continue unranked.	Délai de connexion à la partie classée dépassé Ce serveur ne gère peut être pas les parties classées  Vous pouvez continuer en normal.	 	 
lb_new_id	need a new user id	besoin d'un nouvel identifiant utilisateur	 	 
lb_received	(Wants to play with you :o)	(Vous invite à jouer :o)	 	 
lb_request	(Request sent) 	(Demande envoyée)	 	 
lb_select_player	Select a player name to ask for a match.	Selectionnez un joueur avec qui jouer.	 	 
lb_set_connect	Setting up connection...	Préparation...	 	 
lb_show_board	Hide Leaderboard	Cacher le classement	 	 
lb_spectate	spectate	regarder	 	 
lb_used_name	Error: name is taken :<  If you had just left the server, it may not have realized it yet, try joining again.  This can also happen if you have two instances of Panel Attack open. Press Swap or Back to continue.	Erreur : ce pseudo est déjà pris :<  Si vous venez de quitter le serveur, il n'est peut être pas encore à jour, réessayez.  Cela peut aussi arriver si vous avez lancer deux instances du jeu.  Appuyer sur Valider ou Retour pour continuer. 	 	 
lb_user_new	Welcome, new user: %1	Bienvenue, nouvel utilisateur : %1	 	 
lb_user_update	Welcome, your username has been updated.   Old name:  "%1"  New name:  "%2"	Bienvenue, votre pseudo a été mis à jour.  Ancien:  "%1"  Nouveau:  "%2"	 	 
lb_welcome_back	Welcome back, %1	Vous êtes de retour, %1	 	 
lb_you	You	Vous	 	 
level	Level	Niveau	 	 
mm_1_endless	1P endless	1J infini	 	 
mm_1_puzzle	1P puzzle	1J puzzle	 	 
mm_1_time	1P time attack	1J contre la montre	 	 
mm_1_vs	1P vs yourself	1J vs soi-même	 	 
mm_2_vs_local	2P vs local game	2J vs en local	 	 
mm_2_vs_online	2P vs online %1	2J vs en ligne %1	 	 
mm_configure	Configure input	Configurer les touches	 	 
mm_fullscreen	Fullscreen %1	Plein Ecran %1	 	 
mm_music_test	Music test	Music test 	 	 
mm_no_support_fullscreen	Your graphics card doesn't support canvases for fullscreen	Votre carte graphique ne supporte pas le plein écran	 	 
mm_options	Options	Options	 	 
mm_quit	Quit	Quitter	 	 
mm_replay	Replay of %1	Replay de %1	 	 
mm_set_name	Set name	Changer pseudo	 	 
normal	Normal	Normal	 	 
opponent_level	Opponent's level	Niveau adverse	 	 
pl_1_win	P1 wins ^^	J1 gagne ^^	 	 
pl_2_win	P2 wins ^^	J2 gagne ^^	 	 
pl_game_start	Game is starting!	La partie va commencer !	 	 
pl_spectate_join	Joined a match in progress. Catching up...	Chargement du match en cours. Synchronisation... 	 	 
pl_spectators	Spectator(s):	Spectateurs(s) :	 	 
pl_time_out	game start timed out. This is a known bug, but you may post it in #panel-attack-bugs-features if you'd like.	Le chargement de la partie a pris trop de temps. Ceci est un bug connu, mais vous pouvez le signaler sur notre discord sur : #panel-attack-bugs-features	 	 
speed	Speed	Vitesse	 	 
ss_casual	Casual	Normal	 	 
ss_current_rating	current	courant	 	 
ss_disconnect	Disconnected from server.	Vous êtes deconnecté du serveur. 	 	 
ss_draw	Draw	Egalité	 	 
ss_err_no_reason	Reason unknown	Erreur inconnue 	 	 
ss_error_leave	Error when leaving online	Erreur en quittant le serveur	 	 
ss_expected_rating	expected	attendu	 	 
ss_init	Waiting for room initialization...	En attente de la création de la salle...	 	 
ss_init_fail	Room initialization failed.	Problème lors de la création de la salle.	 	 
ss_not_ranked 	Not ranked.	Non classé.	 	 
ss_ranked	Ranked	Classé	 	 
ss_rating	Rating	Classement	 	 
ss_return	Returning to main menu...	Retour au menu principal...	 	 
ss_winrate	Winrate	Taux de victoire	 	 
ss_wins	Wins	Victoires	 	 
ta_score	You scored %1 in	Vous avez fait %1 en	 	 
			 	 
